id,name,brand,original_price,discount,current_price,discount_rate,quantity_sold,rating_average,product_review_count,seller_id,seller_name,days_since_joined,seller_rating_average,is_official,seller_review_count,total_follower
128733275,Bộ Quần Áo Đũi Nam Mặc Nhà Mùa Hè Chất Liệu Vải Đũi Mềm Mịn Mát Nhẹ Thoáng Thấm Hút Mồ Hôi Tốt Hai Màu Xám Và Đen,OEM,278000,0,278000,0,5,5,1,152306,Phuonguyen86,952,4.284,False,81,8
123926921, Set Bộ Thể Thao Nam Nữ Mùa Hè - Áo Thun Tay Lỡ Unisex Form Rộng Oversize Cotton Và Quần Short Đùi Kaki,OEM,131000,0,131000,0,6,3.7,3,223441,MayLinh Shop,609,4.2958,False,142,47
100148860,Đồ bộ nam nữ chất vải thun mè co giãn 4 chiều cực hot (mzero),OEM,148000,74000,74000,50,29,4.2,14,175928,xuongchuyensi9x,781,3.9713,False,348,75
195454344,Bộ Quần Áo Thun Nam Nữ Unisex Mùa Hè Ngắn Tay Cổ Tròn In Gấu Thời Trang Năng Động,NIU24,95000,0,95000,0,3,5,2,107394,Đầm YuRin,1185,4.3199,False,3423,1268
86127321,<FREE SHIP> SET ĐỒ BỘ THUN LẠNH NAM VẢI CO GIÃN TỐT (USA),OEM,76000,0,76000,0,91,4.6,37,179490,ThoitrangUnisexTP,765,4.3342,False,1098,531
80193591,"SALE mẫu đẹp tặng bố - Bộ đũi trung niên, Chất liệu đũi tự nhiên 100%, Sản phẩm đặc trưng làm hài lòng tất cả khách hàng",OEM,279000,0,279000,0,4,0,0,147177,Chuyên quần áo đũi Thyear,983,4.3202,False,559,119
156732253,"Đồ bộ Pyjama Nam chất liệu phi bóng rũ mềm mại,nền caro đơn giản tao nhã 88227",OEM,255000,127500,127500,50,5,5,2,20741,ONLINE THAI LAND,1547,4.2851,False,2417,522
147767692,BỘ ĐỒ NAM DÀI NỈ THU ĐÔNG,OEM,269000,45000,224000,17,6,0,0,170798,Đức Shop,808,4.0247,False,81,11
173355845,Bộ Đồ Thun Nam Mùa Hè Áo Ngắn Tay XXX Kết Hợp Quần Short Túi Hộp STYLE MARVEN - SET NAM 90000151C3,OEM,107000,0,107000,0,7,0,0,239414,Fashion4men,559,3.4503,False,513,548
75604513,"Quần áo giữ nhiệt cho nam, Bộ giữ ấm cho nam , Quần áo bó sát chống lạnh cổ tim",OEM,900000,250000,650000,28,5,5,3,56283,Mái Ấm Store,1423,4.3659,False,246,95
